Country,Region,Happiness_Rank,Happiness_Score,Economy_GDP,Family,Life_Expectancy,Freedom,Trust_in_Gov,Generosity,Dystopia_Residual
Ecuador,nan,50,6.028,0.912,nan,0.868,0.498,0.087,0.126,nan
Kuwait,nan,51,6.021,1.5,nan,0.808,0.493,0.097,0.142,nan
Thailand,nan,52,6.008,1.05,nan,0.828,0.557,0.028,0.359,nan
Latvia,nan,53,5.94,1.187,nan,0.812,0.264,0.064,0.075,nan
South Korea,nan,54,5.895,1.301,nan,1.036,0.159,0.056,0.175,nan
Estonia,nan,55,5.893,1.237,nan,0.874,0.495,0.161,0.103,nan
Jamaica,nan,56,5.89,0.831,nan,0.831,0.49,0.028,0.107,nan
Mauritius,nan,57,5.888,1.12,nan,0.798,0.498,0.06,0.215,nan
Japan,nan,58,5.886,1.327,nan,1.088,0.445,0.14,0.069,nan
Honduras,nan,59,5.86,0.642,nan,0.828,0.507,0.078,0.246,nan
Kazakhstan,nan,60,5.809,1.173,nan,0.729,0.41,0.096,0.146,nan
Bolivia,nan,61,5.779,0.776,nan,0.706,0.511,0.064,0.137,nan
Hungary,nan,62,5.758,1.201,nan,0.828,0.199,0.02,0.081,nan
Paraguay,nan,63,5.743,0.855,nan,0.777,0.514,0.08,0.184,nan
Northern Cyprus,nan,64,5.718,1.263,nan,1.042,0.417,0.162,0.191,nan
Peru,nan,65,5.697,0.96,nan,0.854,0.455,0.027,0.083,nan
Portugal,nan,66,5.693,1.221,nan,0.999,0.508,0.025,0.047,nan
Pakistan,nan,67,5.653,0.677,nan,0.535,0.313,0.098,0.22,nan
Russia,nan,68,5.648,1.183,nan,0.726,0.334,0.031,0.082,nan
Philippines,nan,69,5.631,0.807,nan,0.657,0.558,0.107,0.117,nan
Serbia,nan,70,5.603,1.004,nan,0.854,0.282,0.039,0.137,nan
Moldova,nan,71,5.529,0.685,nan,0.739,0.245,0.0,0.181,nan
Libya,nan,72,5.525,1.044,nan,0.673,0.416,0.152,0.133,nan
Montenegro,nan,73,5.523,1.051,nan,0.871,0.197,0.08,0.142,nan
Tajikistan,nan,74,5.467,0.493,nan,0.718,0.389,0.144,0.23,nan
Croatia,nan,75,5.432,1.155,nan,0.914,0.296,0.022,0.119,nan
Hong Kong,nan,76,5.43,1.438,nan,1.122,0.44,0.287,0.258,nan
Dominican Republic,nan,77,5.425,1.015,nan,0.779,0.497,0.101,0.113,nan
Bosnia and Herzegovina,nan,78,5.386,0.945,nan,0.845,0.212,0.006,0.263,nan
Turkey,nan,79,5.373,1.183,nan,0.808,0.195,0.106,0.083,nan
Malaysia,nan,80,5.339,1.221,nan,0.828,0.508,0.024,0.26,nan
Belarus,nan,81,5.323,1.067,nan,0.789,0.235,0.142,0.094,nan
Greece,nan,82,5.287,1.181,nan,0.999,0.067,0.034,0.0,nan
Mongolia,nan,83,5.285,0.948,nan,0.667,0.317,0.038,0.235,nan
North Macedonia,nan,84,5.274,0.983,nan,0.838,0.345,0.034,0.185,nan
Nigeria,nan,85,5.265,0.696,nan,0.245,0.426,0.041,0.215,nan
Kyrgyzstan,nan,86,5.261,0.551,nan,0.723,0.508,0.023,0.3,nan
Turkmenistan,nan,87,5.247,1.052,nan,0.657,0.394,0.028,0.244,nan
Algeria,nan,88,5.211,1.002,nan,0.785,0.086,0.114,0.073,nan
Morocco,nan,89,5.208,0.801,nan,0.782,0.418,0.076,0.036,nan
Azerbaijan,nan,90,5.208,1.043,nan,0.769,0.351,0.182,0.035,nan
Lebanon,nan,91,5.197,0.987,nan,0.815,0.216,0.027,0.166,nan
Indonesia,nan,92,5.192,0.931,nan,0.66,0.491,0.028,0.498,nan
China,nan,93,5.191,1.029,nan,0.893,0.521,0.1,0.058,nan
Vietnam,nan,94,5.175,0.741,nan,0.851,0.543,0.073,0.147,nan
Bhutan,nan,95,5.082,0.813,nan,0.604,0.457,0.167,0.37,nan
Cameroon,nan,96,5.044,0.549,nan,0.331,0.381,0.037,0.187,nan
Bulgaria,nan,97,5.011,1.092,nan,0.815,0.311,0.004,0.081,nan
Ghana,nan,98,4.996,0.611,nan,0.486,0.381,0.04,0.245,nan
Ivory Coast,nan,99,4.944,0.569,nan,0.232,0.352,0.09,0.154,nan
Nepal,nan,100,4.913,0.446,nan,0.677,0.439,0.089,0.285,nan
Jordan,nan,101,4.906,0.837,nan,0.815,0.383,0.13,0.11,nan
Benin,nan,102,4.883,0.393,nan,0.397,0.349,0.082,0.175,nan
Congo (Brazzaville),nan,103,4.812,0.673,nan,0.508,0.372,0.093,0.105,nan
Gabon,nan,104,4.799,1.057,nan,0.571,0.295,0.055,0.043,nan
Laos,nan,105,4.796,0.764,nan,0.551,0.547,0.164,0.266,nan
South Africa,nan,106,4.722,0.96,nan,0.469,0.389,0.055,0.13,nan
Albania,nan,107,4.719,0.947,nan,0.874,0.383,0.027,0.178,nan
Venezuela,nan,108,4.707,0.96,nan,0.805,0.154,0.047,0.064,nan
Cambodia,nan,109,4.7,0.574,nan,0.637,0.609,0.062,0.232,nan
Palestinian Territories,nan,110,4.696,0.657,nan,0.672,0.225,0.066,0.103,nan
Senegal,nan,111,4.681,0.45,nan,0.571,0.292,0.072,0.153,nan
Somalia,nan,112,4.668,0.0,nan,0.268,0.559,0.27,0.243,nan
Namibia,nan,113,4.639,0.879,nan,0.477,0.401,0.056,0.07,nan
Niger,nan,114,4.628,0.138,nan,0.366,0.318,0.102,0.188,nan
Burkina Faso,nan,115,4.587,0.331,nan,0.38,0.255,0.113,0.177,nan
Armenia,nan,116,4.559,0.85,nan,0.815,0.283,0.064,0.095,nan
Iran,nan,117,4.548,1.1,nan,0.785,0.305,0.125,0.27,nan
Guinea,nan,118,4.534,0.38,nan,0.375,0.332,0.086,0.207,nan
Georgia,nan,119,4.519,0.886,nan,0.752,0.346,0.164,0.043,nan
Gambia,nan,120,4.516,0.308,nan,0.428,0.382,0.167,0.269,nan
Kenya,nan,121,4.509,0.512,nan,0.581,0.431,0.053,0.372,nan
Mauritania,nan,122,4.49,0.57,nan,0.489,0.066,0.088,0.106,nan
Mozambique,nan,123,4.466,0.204,nan,0.39,0.494,0.138,0.197,nan
Tunisia,nan,124,4.461,0.921,nan,0.815,0.167,0.055,0.059,nan
Bangladesh,nan,125,4.456,0.562,nan,0.723,0.527,0.143,0.166,nan
Iraq,nan,126,4.437,1.043,nan,0.574,0.241,0.089,0.148,nan
Congo (Kinshasa),nan,127,4.418,0.094,nan,0.357,0.269,0.053,0.212,nan
Mali,nan,128,4.39,0.385,nan,0.308,0.327,0.052,0.153,nan
Sierra Leone,nan,129,4.374,0.268,nan,0.242,0.309,0.045,0.252,nan
Sri Lanka,nan,130,4.366,0.949,nan,0.831,0.47,0.047,0.244,nan
Myanmar,nan,131,4.36,0.71,nan,0.555,0.525,0.172,0.566,nan
Chad,nan,132,4.35,0.35,nan,0.192,0.174,0.078,0.198,nan
Ukraine,nan,133,4.332,0.82,nan,0.739,0.178,0.01,0.187,nan
Ethiopia,nan,134,4.286,0.336,nan,0.532,0.344,0.1,0.209,nan
Swaziland,nan,135,4.212,0.811,nan,0.0,0.313,0.135,0.074,nan
Uganda,nan,136,4.189,0.332,nan,0.443,0.356,0.06,0.252,nan
Egypt,nan,137,4.166,0.913,nan,0.644,0.241,0.067,0.076,nan
Zambia,nan,138,4.107,0.578,nan,0.426,0.431,0.087,0.247,nan
Togo,nan,139,4.085,0.275,nan,0.41,0.293,0.085,0.177,nan
India,nan,140,4.015,0.755,nan,0.588,0.498,0.085,0.2,nan
Liberia,nan,141,3.975,0.073,nan,0.443,0.37,0.033,0.233,nan
Comoros,nan,142,3.973,0.274,nan,0.505,0.142,0.078,0.275,nan
Madagascar,nan,143,3.933,0.274,nan,0.555,0.148,0.041,0.169,nan
Lesotho,nan,144,3.802,0.489,nan,0.168,0.359,0.093,0.107,nan
Burundi,nan,145,3.775,0.046,nan,0.38,0.22,0.18,0.176,nan
Zimbabwe,nan,146,3.663,0.366,nan,0.433,0.361,0.089,0.151,nan
Haiti,nan,147,3.597,0.323,nan,0.449,0.026,0.11,0.419,nan
Botswana,nan,148,3.488,1.041,nan,0.538,0.455,0.1,0.025,nan
Syria,nan,149,3.462,0.619,nan,0.44,0.013,0.141,0.331,nan
Malawi,nan,150,3.41,0.191,nan,0.495,0.443,0.089,0.218,nan
Yemen,nan,151,3.38,0.287,nan,0.463,0.143,0.077,0.108,nan
Rwanda,nan,152,3.334,0.359,nan,0.614,0.555,0.411,0.217,nan
Tanzania,nan,153,3.231,0.476,nan,0.499,0.417,0.147,0.276,nan
Afghanistan,nan,154,3.203,0.35,nan,0.361,0.0,0.025,0.158,nan
Central African Republic,nan,155,3.083,0.026,nan,0.105,0.225,0.035,0.235,nan
South Sudan,nan,156,2.853,0.306,nan,0.295,0.01,0.091,0.202,nan
