Happiness_Rank,Year,Country,Region,Happiness_Score,Economy_GDP,Family,Life_Expectancy,Freedom,Generosity,Trust_in_Gov,Dystopia_Residual
34,2021,Brazil,Latin America and Caribbean,6.33,9.577,0.882,66.601,0.804,-0.071,0.756,3.015
35,2021,Mexico,Latin America and Caribbean,6.317,9.859,0.831,68.597,0.862,-0.147,0.799,2.961
36,2021,Jamaica,Latin America and Caribbean,6.309,9.186,0.877,67.5,0.89,-0.137,0.884,3.135
37,2021,Lithuania,Central and Eastern Europe,6.255,10.499,0.935,67.906,0.773,-0.203,0.826,2.624
38,2021,Cyprus,Western Europe,6.223,10.576,0.802,73.898,0.763,-0.015,0.844,2.578
39,2021,Estonia,Central and Eastern Europe,6.189,10.481,0.941,68.8,0.909,-0.106,0.527,2.103
40,2021,Panama,Latin America and Caribbean,6.18,10.35,0.896,69.652,0.872,-0.166,0.856,2.509
41,2021,Uzbekistan,Commonwealth of Independent States,6.179,8.836,0.918,65.255,0.97,0.311,0.515,2.477
42,2021,Chile,Latin America and Caribbean,6.172,10.071,0.882,70.0,0.742,-0.044,0.83,2.682
43,2021,Poland,Central and Eastern Europe,6.166,10.382,0.898,69.702,0.841,-0.165,0.735,2.438
44,2021,Kazakhstan,Commonwealth of Independent States,6.152,10.155,0.952,65.2,0.853,-0.069,0.733,2.446
45,2021,Romania,Central and Eastern Europe,6.14,10.284,0.832,67.355,0.845,-0.219,0.938,2.83
46,2021,Kuwait,Middle East and North Africa,6.106,10.817,0.843,66.9,0.867,-0.104,0.736,2.368
47,2021,Serbia,Central and Eastern Europe,6.078,9.787,0.873,68.6,0.778,0.002,0.835,2.682
48,2021,El Salvador,Latin America and Caribbean,6.061,9.054,0.762,66.402,0.888,-0.11,0.688,3.085
49,2021,Mauritius,Sub-Saharan Africa,6.049,10.008,0.905,66.701,0.867,-0.054,0.789,2.462
50,2021,Latvia,Central and Eastern Europe,6.032,10.315,0.927,67.1,0.715,-0.162,0.8,2.536
51,2021,Colombia,Latin America and Caribbean,6.012,9.557,0.847,68.001,0.837,-0.135,0.841,2.794
52,2021,Hungary,Central and Eastern Europe,5.992,10.358,0.943,68.0,0.755,-0.186,0.876,2.432
53,2021,Thailand,Southeast Asia,5.985,9.805,0.888,67.401,0.884,0.287,0.895,2.309
54,2021,Nicaragua,Latin America and Caribbean,5.972,8.62,0.864,67.657,0.836,0.02,0.664,2.841
55,2021,Japan,East Asia,5.94,10.611,0.884,75.1,0.796,-0.258,0.638,2.048
56,2021,Argentina,Latin America and Caribbean,5.929,9.962,0.898,69.0,0.828,-0.182,0.834,2.461
57,2021,Portugal,Western Europe,5.929,10.421,0.879,72.6,0.892,-0.244,0.887,2.225
58,2021,Honduras,Latin America and Caribbean,5.919,8.648,0.812,67.3,0.857,0.081,0.809,2.934
59,2021,Croatia,Central and Eastern Europe,5.882,10.217,0.924,70.799,0.754,-0.118,0.939,2.325
60,2021,Philippines,Southeast Asia,5.88,9.076,0.83,62.0,0.917,-0.097,0.742,2.872
61,2021,South Korea,East Asia,5.845,10.651,0.799,73.9,0.672,-0.083,0.727,2.262
62,2021,Peru,Latin America and Caribbean,5.84,9.458,0.832,68.25,0.822,-0.154,0.891,2.744
63,2021,Bosnia and Herzegovina,Central and Eastern Europe,5.813,9.59,0.87,68.098,0.706,0.113,0.931,2.583
64,2021,Moldova,Commonwealth of Independent States,5.766,9.454,0.857,65.699,0.822,-0.079,0.918,2.665
65,2021,Ecuador,Latin America and Caribbean,5.764,9.313,0.821,68.8,0.842,-0.124,0.843,2.653
66,2021,Kyrgyzstan,Commonwealth of Independent States,5.744,8.538,0.893,64.401,0.935,0.119,0.908,2.648
67,2021,Greece,Western Europe,5.723,10.279,0.823,72.6,0.582,-0.288,0.823,2.561
68,2021,Bolivia,Latin America and Caribbean,5.716,9.046,0.81,63.901,0.875,-0.077,0.839,2.805
69,2021,Mongolia,East Asia,5.677,9.4,0.935,62.5,0.708,0.116,0.856,2.492
70,2021,Paraguay,Latin America and Caribbean,5.653,9.448,0.893,65.9,0.876,0.028,0.882,2.306
71,2021,Montenegro,Central and Eastern Europe,5.581,9.94,0.858,68.699,0.708,-0.034,0.812,2.254
72,2021,Dominican Republic,Latin America and Caribbean,5.545,9.802,0.853,66.102,0.86,-0.133,0.714,2.178
73,2021,North Cyprus,Western Europe,5.536,10.576,0.82,73.898,0.795,0.012,0.626,1.653
74,2021,Belarus,Commonwealth of Independent States,5.534,9.853,0.91,66.253,0.65,-0.18,0.627,2.247
75,2021,Russia,Commonwealth of Independent States,5.477,10.189,0.903,64.703,0.718,-0.111,0.845,2.148
76,2021,Hong Kong S.A.R. of China,East Asia,5.477,11.0,0.836,76.82,0.717,0.067,0.403,1.236
77,2021,Tajikistan,Commonwealth of Independent States,5.466,8.091,0.86,64.281,0.832,-0.056,0.553,2.619
78,2021,Vietnam,Southeast Asia,5.411,8.973,0.85,68.034,0.94,-0.098,0.796,2.211
79,2021,Libya,Middle East and North Africa,5.41,9.622,0.827,62.3,0.771,-0.087,0.667,2.331
80,2021,Malaysia,Southeast Asia,5.384,10.238,0.817,67.102,0.895,0.125,0.839,1.784
81,2021,Indonesia,Southeast Asia,5.345,9.365,0.811,62.236,0.873,0.542,0.867,1.987
82,2021,Congo (Brazzaville),Sub-Saharan Africa,5.342,8.117,0.636,58.221,0.695,-0.068,0.745,3.476
83,2021,China,East Asia,5.339,9.673,0.811,69.593,0.904,-0.146,0.755,1.982
84,2021,Ivory Coast,Sub-Saharan Africa,5.306,8.551,0.644,50.114,0.741,-0.016,0.794,3.469
85,2021,Armenia,Commonwealth of Independent States,5.283,9.487,0.799,67.055,0.825,-0.168,0.629,2.127
86,2021,Nepal,South Asia,5.269,8.12,0.774,64.233,0.782,0.152,0.727,2.642
87,2021,Bulgaria,Central and Eastern Europe,5.266,10.016,0.931,67.0,0.788,-0.096,0.932,1.823
88,2021,Maldives,South Asia,5.198,9.826,0.913,70.6,0.854,0.024,0.825,1.52
89,2021,Azerbaijan,Commonwealth of Independent States,5.171,9.569,0.836,65.656,0.814,-0.223,0.506,1.919
90,2021,Cameroon,Sub-Saharan Africa,5.142,8.189,0.71,53.515,0.731,0.026,0.848,3.195
91,2021,Senegal,Sub-Saharan Africa,5.132,8.118,0.71,59.802,0.695,-0.046,0.801,3.071
92,2021,Albania,Central and Eastern Europe,5.117,9.52,0.697,68.999,0.785,-0.03,0.901,2.25
93,2021,North Macedonia,Central and Eastern Europe,5.101,9.693,0.805,65.474,0.751,0.038,0.905,2.042
94,2021,Ghana,Sub-Saharan Africa,5.088,8.58,0.727,57.586,0.807,0.123,0.848,2.684
95,2021,Niger,Sub-Saharan Africa,5.074,7.098,0.641,53.78,0.806,0.018,0.693,3.47
96,2021,Turkmenistan,Commonwealth of Independent States,5.066,9.629,0.983,62.409,0.877,0.273,0.888,1.409
97,2021,Gambia,Sub-Saharan Africa,5.051,7.686,0.69,55.16,0.697,0.424,0.746,2.99
98,2021,Benin,Sub-Saharan Africa,5.045,8.087,0.489,54.713,0.757,-0.034,0.661,3.482
99,2021,Laos,Southeast Asia,5.03,8.947,0.728,58.968,0.91,0.123,0.658,2.204
100,2021,Bangladesh,South Asia,5.025,8.454,0.693,64.8,0.877,-0.041,0.682,2.427
101,2021,Guinea,Sub-Saharan Africa,4.984,7.838,0.639,55.008,0.697,0.095,0.766,3.216
102,2021,South Africa,Sub-Saharan Africa,4.956,9.403,0.86,56.904,0.749,-0.067,0.86,2.187
103,2021,Turkey,Middle East and North Africa,4.948,10.24,0.822,67.199,0.576,-0.139,0.776,1.852
104,2021,Pakistan,South Asia,4.934,8.458,0.651,58.709,0.726,0.098,0.787,2.784
105,2021,Morocco,Middle East and North Africa,4.918,8.903,0.56,66.208,0.774,-0.236,0.801,2.749
106,2021,Venezuela,Latin America and Caribbean,4.892,9.073,0.861,66.7,0.615,-0.169,0.827,2.135
107,2021,Georgia,Commonwealth of Independent States,4.891,9.585,0.671,64.3,0.783,-0.238,0.655,2.191
108,2021,Algeria,Middle East and North Africa,4.887,9.342,0.802,66.005,0.48,-0.067,0.752,2.242
109,2021,Ukraine,Commonwealth of Independent States,4.875,9.436,0.888,64.902,0.724,-0.011,0.924,1.813
110,2021,Iraq,Middle East and North Africa,4.854,9.24,0.746,60.583,0.63,-0.053,0.875,2.429
111,2021,Gabon,Sub-Saharan Africa,4.852,9.603,0.776,59.962,0.731,-0.2,0.84,2.201
112,2021,Burkina Faso,Sub-Saharan Africa,4.834,7.678,0.672,54.151,0.695,-0.009,0.748,3.133
113,2021,Cambodia,Southeast Asia,4.83,8.36,0.765,62.0,0.959,0.034,0.843,2.148
114,2021,Mozambique,Sub-Saharan Africa,4.794,7.158,0.744,54.706,0.882,0.061,0.684,2.783
115,2021,Nigeria,Sub-Saharan Africa,4.759,8.533,0.74,50.102,0.737,0.037,0.878,2.736
116,2021,Mali,Sub-Saharan Africa,4.723,7.744,0.724,51.969,0.697,-0.036,0.827,3.016
117,2021,Iran,Middle East and North Africa,4.721,9.584,0.71,66.3,0.608,0.218,0.714,1.823
118,2021,Uganda,Sub-Saharan Africa,4.636,7.677,0.781,56.101,0.709,0.122,0.855,2.596
119,2021,Liberia,Sub-Saharan Africa,4.625,7.288,0.72,56.498,0.735,0.05,0.85,2.857
120,2021,Kenya,Sub-Saharan Africa,4.607,8.361,0.688,60.704,0.779,0.287,0.825,2.18
121,2021,Tunisia,Middle East and North Africa,4.596,9.266,0.691,67.201,0.656,-0.201,0.87,2.138
122,2021,Lebanon,Middle East and North Africa,4.584,9.626,0.848,67.355,0.525,-0.073,0.898,1.736
123,2021,Namibia,Sub-Saharan Africa,4.574,9.161,0.818,56.799,0.719,-0.149,0.847,2.068
124,2021,Palestinian Territories,Middle East and North Africa,4.517,8.485,0.826,62.25,0.653,-0.163,0.821,2.131
125,2021,Myanmar,Southeast Asia,4.426,8.541,0.779,59.302,0.876,0.509,0.66,1.407
126,2021,Jordan,Middle East and North Africa,4.395,9.182,0.767,67.0,0.755,-0.167,0.705,1.553
127,2021,Chad,Sub-Saharan Africa,4.355,7.364,0.619,48.478,0.579,0.041,0.807,3.209
128,2021,Sri Lanka,South Asia,4.325,9.47,0.827,67.299,0.841,0.079,0.863,1.075
129,2021,Swaziland,Sub-Saharan Africa,4.308,9.065,0.77,50.833,0.647,-0.185,0.708,2.155
130,2021,Comoros,Sub-Saharan Africa,4.289,8.031,0.626,57.349,0.548,0.082,0.781,2.61
131,2021,Egypt,Middle East and North Africa,4.283,9.367,0.75,61.998,0.749,-0.182,0.795,1.648
132,2021,Ethiopia,Sub-Saharan Africa,4.275,7.694,0.764,59.0,0.752,0.082,0.761,2.089
133,2021,Mauritania,Sub-Saharan Africa,4.227,8.542,0.795,57.161,0.561,-0.106,0.731,2.069
134,2021,Madagascar,Sub-Saharan Africa,4.208,7.396,0.686,59.305,0.552,-0.005,0.803,2.62
135,2021,Togo,Sub-Saharan Africa,4.107,7.362,0.569,54.914,0.619,0.032,0.772,2.806
136,2021,Zambia,Sub-Saharan Africa,4.073,8.145,0.708,55.809,0.782,0.061,0.823,1.975
137,2021,Sierra Leone,Sub-Saharan Africa,3.849,7.434,0.63,51.651,0.717,0.084,0.866,2.396
138,2021,India,South Asia,3.819,8.755,0.603,60.633,0.893,0.089,0.774,1.405
139,2021,Burundi,Sub-Saharan Africa,3.775,6.635,0.49,53.4,0.626,-0.024,0.607,2.876
140,2021,Yemen,Middle East and North Africa,3.658,7.578,0.832,57.122,0.602,-0.147,0.8,1.776
141,2021,Tanzania,Sub-Saharan Africa,3.623,7.876,0.702,57.999,0.833,0.183,0.577,1.263
142,2021,Haiti,Latin America and Caribbean,3.615,7.477,0.54,55.7,0.593,0.422,0.721,2.06
143,2021,Malawi,Sub-Saharan Africa,3.6,6.958,0.537,57.948,0.78,0.038,0.729,2.19
144,2021,Lesotho,Sub-Saharan Africa,3.512,7.926,0.787,48.7,0.715,-0.131,0.915,1.8
145,2021,Botswana,Sub-Saharan Africa,3.467,9.782,0.784,59.269,0.824,-0.246,0.801,0.648
146,2021,Rwanda,Sub-Saharan Africa,3.415,7.676,0.552,61.4,0.897,0.061,0.167,1.095
147,2021,Zimbabwe,Sub-Saharan Africa,3.145,7.943,0.75,56.201,0.677,-0.047,0.821,1.205
148,2021,Afghanistan,South Asia,2.523,7.695,0.463,52.493,0.382,-0.102,0.924,1.895
