Country,Region,Happiness_Rank,Happiness_Score,Economy_GDP,Family,Life_Expectancy,Freedom,Trust_in_Gov,Generosity,Dystopia_Residual,Year
El Salvador,nan,40,6.167,0.806,Nan,0.639,0.461,0.082,0.065,Nan,2018
Nicaragua,nan,41,6.141,0.668,Nan,0.7,0.527,0.128,0.208,Nan,2018
Poland,nan,42,6.123,1.176,Nan,0.781,0.546,0.064,0.108,Nan,2018
Bahrain,nan,43,6.105,1.338,Nan,0.698,0.594,0.123,0.243,Nan,2018
Uzbekistan,nan,44,6.096,0.719,Nan,0.605,0.724,0.259,0.328,Nan,2018
Kuwait,nan,45,6.083,1.474,Nan,0.675,0.554,0.106,0.167,Nan,2018
Thailand,nan,46,6.072,1.016,Nan,0.707,0.637,0.029,0.364,Nan,2018
Italy,nan,47,6,1.264,Nan,0.946,0.281,0.028,0.137,Nan,2018
Ecuador,nan,48,5.973,0.889,Nan,0.736,0.556,0.12,0.114,Nan,2018
Belize,nan,49,5.956,0.807,Nan,0.474,0.593,0.089,0.183,Nan,2018
Lithuania,nan,50,5.952,1.197,Nan,0.716,0.35,0.006,0.026,Nan,2018
Slovenia,nan,51,5.948,1.219,Nan,0.856,0.633,0.051,0.16,Nan,2018
Romania,nan,52,5.945,1.116,Nan,0.726,0.528,0.001,0.088,Nan,2018
Latvia,nan,53,5.933,1.148,Nan,0.671,0.363,0.066,0.092,Nan,2018
Japan,nan,54,5.915,1.294,Nan,0.988,0.553,0.15,0.079,Nan,2018
Mauritius,nan,55,5.891,1.09,Nan,0.684,0.584,0.05,0.245,Nan,2018
Jamaica,nan,56,5.89,0.819,Nan,0.693,0.575,0.031,0.096,Nan,2018
South Korea,nan,57,5.875,1.266,Nan,0.955,0.244,0.051,0.175,Nan,2018
Northern Cyprus,nan,58,5.835,1.229,Nan,0.909,0.495,0.154,0.179,Nan,2018
Russia,nan,59,5.81,1.151,Nan,0.599,0.399,0.025,0.065,Nan,2018
Kazakhstan,nan,60,5.79,1.143,Nan,0.631,0.454,0.121,0.148,Nan,2018
Cyprus,nan,61,5.762,1.229,Nan,0.909,0.423,0.035,0.202,Nan,2018
Bolivia,nan,62,5.752,0.751,Nan,0.508,0.606,0.054,0.141,Nan,2018
Estonia,nan,63,5.739,1.2,Nan,0.737,0.553,0.174,0.086,Nan,2018
Paraguay,nan,64,5.681,0.835,Nan,0.615,0.541,0.074,0.162,Nan,2018
Peru,nan,65,5.663,0.934,Nan,0.674,0.53,0.034,0.092,Nan,2018
Kosovo,nan,66,5.662,0.855,Nan,0.578,0.448,0.023,0.274,Nan,2018
Moldova,nan,67,5.64,0.657,Nan,0.62,0.232,0,0.171,Nan,2018
Turkmenistan,nan,68,5.636,1.016,Nan,0.517,0.417,0.037,0.199,Nan,2018
Hungary,nan,69,5.62,1.171,Nan,0.732,0.259,0.022,0.061,Nan,2018
Libya,nan,70,5.566,0.985,Nan,0.553,0.496,0.148,0.116,Nan,2018
Philippines,nan,71,5.524,0.775,Nan,0.513,0.643,0.105,0.12,Nan,2018
Honduras,nan,72,5.504,0.62,Nan,0.622,0.459,0.074,0.197,Nan,2018
Belarus,nan,73,5.483,1.039,Nan,0.7,0.307,0.154,0.101,Nan,2018
Turkey,nan,74,5.483,1.148,Nan,0.686,0.324,0.109,0.106,Nan,2018
Pakistan,nan,75,5.472,0.652,Nan,0.424,0.334,0.113,0.216,Nan,2018
Hong Kong,nan,76,5.43,1.405,Nan,1.03,0.524,0.291,0.246,Nan,2018
Portugal,nan,77,5.41,1.188,Nan,0.884,0.562,0.017,0.055,Nan,2018
Serbia,nan,78,5.398,0.975,Nan,0.685,0.288,0.043,0.134,Nan,2018
Greece,nan,79,5.358,1.154,Nan,0.879,0.131,0.044,0,Nan,2018
Lebanon,nan,80,5.358,0.965,Nan,0.785,0.503,0.136,0.214,Nan,2018
Montenegro,nan,81,5.347,1.017,Nan,0.729,0.259,0.081,0.111,Nan,2018
Croatia,nan,82,5.321,1.115,Nan,0.737,0.38,0.039,0.12,Nan,2018
Dominican Republic,nan,83,5.302,0.982,Nan,0.614,0.578,0.106,0.12,Nan,2018
Algeria,nan,84,5.295,0.979,Nan,0.687,0.077,0.135,0.055,Nan,2018
Morocco,nan,85,5.254,0.779,Nan,0.669,0.46,0.074,0.026,Nan,2018
China,nan,86,5.246,0.989,Nan,0.799,0.597,0.103,0.029,Nan,2018
Azerbaijan,nan,87,5.201,1.024,Nan,0.603,0.43,0.176,0.031,Nan,2018
Tajikistan,nan,88,5.199,0.474,Nan,0.598,0.292,0.034,0.187,Nan,2018
Macedonia,nan,89,5.185,0.959,Nan,0.691,0.394,0.052,0.173,Nan,2018
Jordan,nan,90,5.161,0.822,Nan,0.645,0.468,0.134,0.13,Nan,2018
Nigeria,nan,91,5.155,0.689,Nan,0.048,0.462,0.032,0.201,Nan,2018
Kyrgyzstan,nan,92,5.131,0.53,Nan,0.594,0.54,0.035,0.281,Nan,2018
Bosnia and Herzegovina,nan,93,5.129,0.915,Nan,0.758,0.28,0,0.216,Nan,2018
Mongolia,nan,94,5.125,0.914,Nan,0.575,0.395,0.032,0.253,Nan,2018
Vietnam,nan,95,5.103,0.715,Nan,0.702,0.618,0.079,0.177,Nan,2018
Indonesia,nan,96,5.093,0.899,Nan,0.522,0.538,0.018,0.484,Nan,2018
Bhutan,nan,97,5.082,0.796,Nan,0.527,0.541,0.171,0.364,Nan,2018
Somalia,nan,98,4.982,0,Nan,0.115,0.674,0.282,0.238,Nan,2018
Cameroon,nan,99,4.975,0.535,Nan,0.182,0.454,0.043,0.183,Nan,2018
Bulgaria,nan,100,4.933,1.054,Nan,0.712,0.359,0.009,0.064,Nan,2018
Nepal,nan,101,4.88,0.425,Nan,0.539,0.526,0.078,0.302,Nan,2018
Venezuela,nan,102,4.806,0.996,Nan,0.657,0.133,0.052,0.056,Nan,2018
Gabon,nan,103,4.758,1.036,Nan,0.404,0.356,0.052,0.032,Nan,2018
Palestinian Territories,nan,104,4.743,0.642,Nan,0.602,0.266,0.076,0.086,Nan,2018
South Africa,nan,105,4.724,0.94,Nan,0.33,0.516,0.056,0.103,Nan,2018
Iran,nan,106,4.707,1.059,Nan,0.691,0.459,0.129,0.282,Nan,2018
Ivory Coast,nan,107,4.671,0.541,Nan,0.08,0.467,0.103,0.146,Nan,2018
Ghana,nan,108,4.657,0.592,Nan,0.337,0.499,0.029,0.212,Nan,2018
Senegal,nan,109,4.631,0.429,Nan,0.433,0.406,0.082,0.138,Nan,2018
Laos,nan,110,4.623,0.72,Nan,0.441,0.626,0.174,0.23,Nan,2018
Tunisia,nan,111,4.592,0.9,Nan,0.69,0.271,0.063,0.04,Nan,2018
Albania,nan,112,4.586,0.916,Nan,0.79,0.419,0.032,0.149,Nan,2018
Sierra Leone,nan,113,4.571,0.256,Nan,0,0.355,0.053,0.238,Nan,2018
Congo (Brazzaville),nan,114,4.559,0.682,Nan,0.343,0.514,0.077,0.091,Nan,2018
Bangladesh,nan,115,4.5,0.532,Nan,0.579,0.58,0.144,0.153,Nan,2018
Sri Lanka,nan,116,4.471,0.918,Nan,0.672,0.585,0.05,0.307,Nan,2018
Iraq,nan,117,4.456,1.01,Nan,0.536,0.304,0.095,0.148,Nan,2018
Mali,nan,118,4.447,0.37,Nan,0.152,0.367,0.056,0.139,Nan,2018
Namibia,nan,119,4.441,0.874,Nan,0.365,0.519,0.064,0.051,Nan,2018
Cambodia,nan,120,4.433,0.549,Nan,0.457,0.696,0.065,0.256,Nan,2018
Burkina Faso,nan,121,4.424,0.314,Nan,0.254,0.312,0.128,0.175,Nan,2018
Egypt,nan,122,4.419,0.885,Nan,0.553,0.312,0.107,0.092,Nan,2018
Mozambique,nan,123,4.417,0.198,Nan,0.173,0.531,0.158,0.206,Nan,2018
Kenya,nan,124,4.41,0.493,Nan,0.454,0.504,0.055,0.352,Nan,2018
Zambia,nan,125,4.377,0.562,Nan,0.295,0.503,0.082,0.221,Nan,2018
Mauritania,nan,126,4.356,0.557,Nan,0.292,0.129,0.093,0.134,Nan,2018
Ethiopia,nan,127,4.35,0.308,Nan,0.391,0.452,0.146,0.22,Nan,2018
Georgia,nan,128,4.34,0.853,Nan,0.643,0.375,0.215,0.038,Nan,2018
Armenia,nan,129,4.321,0.816,Nan,0.666,0.26,0.028,0.077,Nan,2018
Myanmar,nan,130,4.308,0.682,Nan,0.429,0.58,0.178,0.598,Nan,2018
Chad,nan,131,4.301,0.358,Nan,0.053,0.189,0.06,0.181,Nan,2018
Congo (Kinshasa),nan,132,4.245,0.069,Nan,0.204,0.312,0.052,0.197,Nan,2018
India,nan,133,4.19,0.721,Nan,0.485,0.539,0.093,0.172,Nan,2018
Niger,nan,134,4.166,0.131,Nan,0.221,0.39,0.099,0.175,Nan,2018
Uganda,nan,135,4.161,0.322,Nan,0.237,0.45,0.061,0.259,Nan,2018
Benin,nan,136,4.141,0.378,Nan,0.24,0.44,0.067,0.163,Nan,2018
Sudan,nan,137,4.139,0.605,Nan,0.312,0.016,0.082,0.134,Nan,2018
Ukraine,nan,138,4.103,0.793,Nan,0.609,0.163,0.011,0.187,Nan,2018
Togo,nan,139,3.999,0.259,Nan,0.253,0.434,0.101,0.158,Nan,2018
Guinea,nan,140,3.964,0.344,Nan,0.211,0.394,0.094,0.185,Nan,2018
Lesotho,nan,141,3.808,0.472,Nan,0.079,0.423,0.112,0.116,Nan,2018
Angola,nan,142,3.795,0.73,Nan,0.269,0,0.061,0.079,Nan,2018
Madagascar,nan,143,3.774,0.262,Nan,0.402,0.221,0.049,0.155,Nan,2018
Zimbabwe,nan,144,3.692,0.357,Nan,0.248,0.406,0.099,0.132,Nan,2018
Afghanistan,nan,145,3.632,0.332,Nan,0.255,0.085,0.036,0.191,Nan,2018
Botswana,nan,146,3.59,1.017,Nan,0.417,0.557,0.092,0.042,Nan,2018
Malawi,nan,147,3.587,0.186,Nan,0.306,0.531,0.08,0.21,Nan,2018
Haiti,nan,148,3.582,0.315,Nan,0.289,0.025,0.104,0.392,Nan,2018
Liberia,nan,149,3.495,0.076,Nan,0.267,0.419,0.03,0.206,Nan,2018
Syria,nan,150,3.462,0.689,Nan,0.539,0.088,0.144,0.376,Nan,2018
Rwanda,nan,151,3.408,0.332,Nan,0.4,0.636,0.444,0.2,Nan,2018
Yemen,nan,152,3.355,0.442,Nan,0.343,0.244,0.064,0.083,Nan,2018
Tanzania,nan,153,3.303,0.455,Nan,0.381,0.481,0.097,0.27,Nan,2018
South Sudan,nan,154,3.254,0.337,Nan,0.177,0.112,0.106,0.224,Nan,2018
Central African Republic,nan,155,3.083,0.024,Nan,0.01,0.305,0.038,0.218,Nan,2018
Burundi,nan,156,2.905,0.091,Nan,0.145,0.065,0.076,0.149,Nan,2018
