Country,Happiness_Rank,Happiness_Score,Economy_GDP,Explained by: Social support,Life_Expectancy,Freedom,Trust_in_Gov,Generosity,Dystopia_Residual
China,72,5.585,1.508,0.958,0.705,0.656,0.142,0.099,1.516
Paraguay,73,5.578,1.409,1.13,0.624,0.629,0.059,0.171,1.555
Peru,74,5.559,1.397,0.865,0.735,0.545,0.037,0.09,1.89
Montenegro,75,5.547,1.573,1.023,0.659,0.46,0.077,0.135,1.619
Ecuador,76,5.533,1.352,0.879,0.708,0.565,0.083,0.08,1.866
Vietnam,77,5.485,1.252,0.932,0.611,0.707,0.105,0.143,1.735
Turkmenistan*,78,5.474,1.484,1.319,0.516,0.649,0.032,0.314,1.16
North Cyprus*,79,5.467,1.815,0.888,0.819,0.523,0.213,0.13,1.078
Russia,80,5.459,1.685,1.095,0.586,0.401,0.08,0.117,1.494
Hong Kong S.A.R. of China,81,5.425,1.957,0.954,0.942,0.4,0.383,0.147,0.642
Armenia,82,5.399,1.434,0.82,0.668,0.558,0.21,0.054,1.654
Tajikistan,83,5.377,0.966,1.005,0.518,0.572,0.304,0.118,1.895
Nepal,84,5.377,0.984,0.784,0.499,0.519,0.13,0.237,2.224
Bulgaria,85,5.371,1.625,1.163,0.64,0.563,0.021,0.123,1.235
Libya*,86,5.33,1.476,0.943,0.606,0.477,0.179,0.106,1.544
Indonesia,87,5.24,1.382,0.883,0.539,0.62,0.047,0.468,1.3
Ivory Coast,88,5.235,1.094,0.442,0.322,0.451,0.124,0.149,2.652
North Macedonia,89,5.199,1.505,0.863,0.637,0.488,0.031,0.215,1.461
Albania,90,5.199,1.439,0.646,0.719,0.511,0.028,0.138,1.718
South Africa,91,5.194,1.425,1.088,0.361,0.442,0.046,0.089,1.742
Azerbaijan*,92,5.173,1.458,1.093,0.56,0.601,0.341,0.023,1.098
Gambia*,93,5.164,0.785,0.621,0.369,0.367,0.103,0.388,2.531
Bangladesh,94,5.155,1.06,0.614,0.581,0.622,0.187,0.125,1.967
Laos,95,5.14,1.239,0.654,0.479,0.679,0.184,0.197,1.709
Algeria,96,5.122,1.363,0.97,0.643,0.146,0.15,0.106,1.744
Liberia*,97,5.122,0.636,0.67,0.309,0.405,0.08,0.178,2.844
Ukraine,98,5.084,1.411,1.081,0.583,0.473,0.017,0.188,1.331
Congo,99,5.075,0.95,0.405,0.355,0.431,0.146,0.13,2.658
Morocco,100,5.06,1.208,0.268,0.565,0.492,0.102,0.02,2.405
Mozambique,101,5.048,0.578,0.66,0.191,0.593,0.2,0.185,2.641
Cameroon,102,5.048,0.968,0.672,0.317,0.397,0.074,0.152,2.469
Senegal,103,5.046,0.933,0.53,0.447,0.494,0.081,0.143,2.419
Niger*,104,5.003,0.57,0.56,0.326,0.571,0.145,0.165,2.667
Georgia,105,4.973,1.467,0.612,0.595,0.508,0.208,0.0,1.583
Gabon,106,4.958,1.459,0.738,0.396,0.343,0.099,0.032,1.892
Iraq,107,4.941,1.289,0.682,0.554,0.328,0.046,0.147,1.894
Venezuela,108,4.925,0.0,0.968,0.578,0.283,0.082,0.225,2.79
Guinea,109,4.891,0.848,0.566,0.275,0.334,0.116,0.214,2.538
Iran,110,4.888,1.41,0.741,0.642,0.281,0.146,0.241,1.427
Ghana,111,4.872,1.112,0.595,0.409,0.5,0.056,0.23,1.972
Turkey,112,4.744,1.707,0.865,0.702,0.209,0.115,0.087,1.059
Burkina Faso,113,4.67,0.779,0.565,0.32,0.382,0.126,0.186,2.313
Cambodia,114,4.64,1.019,0.732,0.505,0.74,0.068,0.166,1.41
Benin,115,4.623,0.932,0.064,0.335,0.479,0.23,0.127,2.458
Comoros*,116,4.609,0.899,0.476,0.424,0.185,0.125,0.195,2.304
Uganda,117,4.603,0.777,0.875,0.418,0.402,0.066,0.222,1.842
Nigeria,118,4.552,1.079,0.732,0.3,0.444,0.038,0.175,1.784
Kenya,119,4.543,1.032,0.605,0.401,0.44,0.082,0.322,1.661
Tunisia,120,4.516,1.35,0.596,0.656,0.316,0.029,0.029,1.54
Pakistan,121,4.516,1.049,0.413,0.374,0.448,0.112,0.181,1.94
Palestinian Territories*,122,4.483,1.148,0.957,0.521,0.336,0.079,0.073,1.368
Mali,123,4.479,0.792,0.483,0.311,0.35,0.042,0.128,2.373
Namibia,124,4.459,1.292,0.877,0.354,0.384,0.071,0.067,1.414
"Eswatini, Kingdom of*",125,4.396,1.274,0.786,0.197,0.259,0.154,0.038,1.688
Myanmar,126,4.394,1.038,0.829,0.491,0.513,0.194,0.452,0.877
Sri Lanka,127,4.362,1.415,0.934,0.66,0.529,0.079,0.15,0.595
Madagascar*,128,4.339,0.67,0.645,0.378,0.202,0.154,0.143,2.148
Egypt,129,4.288,1.388,0.732,0.548,0.469,0.254,0.041,0.856
Chad*,130,4.251,0.662,0.506,0.225,0.18,0.077,0.182,2.419
Ethiopia,131,4.241,0.788,0.809,0.457,0.472,0.136,0.205,1.375
Yemen*,132,4.197,0.691,1.043,0.384,0.33,0.098,0.09,1.561
Mauritania*,133,4.153,1.1,0.865,0.45,0.304,0.138,0.088,1.207
Jordan,134,4.152,1.324,0.724,0.675,0.476,0.2,0.058,0.695
Togo,135,4.112,0.771,0.322,0.36,0.292,0.132,0.174,2.061
India,136,3.777,1.167,0.376,0.471,0.647,0.123,0.198,0.795
Zambia,137,3.76,0.93,0.577,0.306,0.525,0.083,0.203,1.135
Malawi,138,3.75,0.648,0.279,0.388,0.477,0.157,0.14,1.661
Tanzania,139,3.702,0.848,0.597,0.425,0.578,0.27,0.248,0.735
Sierra Leone,140,3.574,0.686,0.416,0.273,0.387,0.055,0.202,1.556
Lesotho*,141,3.512,0.839,0.848,0.0,0.419,0.018,0.076,1.312
Botswana*,142,3.471,1.503,0.815,0.28,0.571,0.102,0.012,0.187
Rwanda*,143,3.268,0.785,0.133,0.462,0.621,0.544,0.187,0.536
Zimbabwe,144,2.995,0.947,0.69,0.27,0.329,0.105,0.106,0.548
Lebanon,145,2.955,1.392,0.498,0.631,0.103,0.034,0.082,0.216
Afghanistan,146,2.404,0.758,0.0,0.289,0.0,0.005,0.089,1.263
